م,E,N,نوع الحادث,جسامة الحادث,عدد المصابين
4515,21.496,39.2534,صدم جسم ثابت اخر,وفاة,null
4514,22.26423,39.26171,صدم جسم ثابت اخر,اصابة,null
4513,22.07449,39.24519,صدم جسم ثابت اخر,اصابة,null
4512,18.99791,41.32552,صدم مركبة متحركة,اصابة,null
4511,19.119539,41.100368,صدم مركبة متحركة,اصابة,null
4510,21.41259,39.52528,انقلاب مركبة,اصابة,null
4509,21.37231,39.40493,صدم مركبة متحركة,اصابة,null
4508,21.057093,39.911934,صدم مركبة متحركة,اصابة,null
4507,21.404871,39.817345,دهس مشاه,اصابة,null
4506,21.389698,39.786346,انقلاب مركبة,اصابة,null
4505,21.3513923,39.8349905,صدم مركبة متحركة,اصابة,null
4474,21.3644355,39.8739775,انقلاب مركبة,اصابة,null
4473,21.4873,39.1813,انقلاب مركبة,اصابة,null
4472,21.3641275,39.8739719999999,دهس مشاه,اصابة,null
4471,21.3641275,39.8739719999999,صدم مركبة متحركة,اصابة,null
4470,21.3641275,39.8739719999999,انقلاب مركبة,اصابة,null
4469,21.3641275,39.8739719999999,صدم مركبة متحركة,اصابة,null
4468,21.3641275,39.8739719999999,صدم مركبة متحركة,اصابة,null
4467,21.3641275,39.8739719999999,صدم مركبة متحركة,اصابة,null
4466,21.3644355,39.8739775,دهس مشاه,وفاة,null
4465,21.364209,39.873968,دهس مشاه,اصابة,null
4464,21.3644355,39.8739775,صدم مركبة متحركة,وفاة,null
4463,21.363476,39.874096,صدم جسم ثابت اخر,اصابة,null
4462,21.363476,39.874096,صدم مركبة متحركة,اصابة,null
4461,21.363476,39.874096,صدم مركبة متحركة,اصابة,null
4460,21.4873,39.1813,صدم مركبة متحركة,اصابة,null
4459,21.4873,39.1813,دهس مشاه,اصابة,null
4458,21.4873,39.1813,صدم مركبة متحركة,اصابة,null
4457,21.4873,39.1813,صدم مركبة متحركة,اصابة,null
4456,21.4873,39.1813,انقلاب مركبة,وفاة,null
4455,21.4873,39.1813,صدم مركبة متحركة,وفاة,null
4454,21.644,39.1644,انقلاب مركبة,اصابة,null
4453,21.3641275,39.8739719999999,دهس مشاه,اصابة,null
4452,21.644,39.1644,صدم مركبة متحركة,وفاة,null
4451,21.644,39.1644,صدم جسم ثابت اخر,وفاة,null
4450,21.644,39.1644,دهس مشاه,وفاة,null
4449,21.644,39.1644,انقلاب مركبة,وفاة,null
4448,21.644,39.1644,صدم مركبة متحركة,وفاة,null
