grid_id,lat_grid,lon_grid,accident_count,avg_severity,latitude,longitude,predicted_count,risk_level
21.007007_39.589126,21.00700682716493,39.58912640297291,1,3.0,21.01111,39.59272,1.0077312238171479,Low
21.007007_39.743508,21.00700682716493,39.74350759294307,1,3.0,21.0103,39.7443,1.0356822336012081,Low
21.01599_39.704912,21.01598993891484,39.70491229545053,1,3.0,21.018488,39.706253,1.0077312238171479,Low
21.029465_39.902713,21.029464606539705,39.90271319509979,1,3.0,21.032692,39.907478,1.0114525409130062,Low
21.038448_39.786927,21.038447718289614,39.786927302622175,1,2.0,21.041231,39.789795,1.0628351097089521,Low
21.042939_39.902713,21.04293927416457,39.90271319509979,1,2.0,21.0436003,39.9035,1.1282782304651073,Medium
21.056414_39.420272,21.056413941789437,39.42027197644305,1,2.0,21.0601,39.42502,1.1174752628416358,Medium
21.056414_39.907538,21.056413941789437,39.907537607286365,1,2.0,21.057093,39.911934,1.0610743368192002,Low
21.060905_39.56018,21.06090549766439,39.560179929853504,1,2.0,21.0639,39.56119,1.152423973068545,Medium
21.065397_39.598775,21.065397053539346,39.598775227346046,1,2.0,21.065899,39.599247,1.1548363955476553,Medium
21.065397_39.907538,21.065397053539346,39.907537607286365,1,2.0,21.06671,39.911411,1.1210743368192002,Medium
21.078872_39.598775,21.078871721164212,39.598775227346046,1,3.0,21.08123,39.598869,1.0077312238171479,Low
21.083363_39.362379,21.083363277039165,39.36237903020424,1,3.0,21.0838,39.3636189,1.0844771831043487,Low
21.083363_39.598775,21.083363277039165,39.598775227346046,1,3.0,21.085691,39.599044,1.0077312238171479,Low
21.087855_39.598775,21.08785483291412,39.598775227346046,2,2.5,21.0885185,39.598895999999996,2.0817239176652462,High
21.092346_39.6036,21.09234638878908,39.60359963953261,1,3.0,21.093365,39.605206,1.0077312238171479,Low
21.096838_39.579478,21.09683794466403,39.57947757859977,1,2.0,21.1013,39.5829,1.130728525771589,Medium
21.096838_39.598775,21.09683794466403,39.598775227346046,1,2.0,21.097084,39.598942,1.1356342275259752,Medium
21.10133_39.593951,21.101329500538988,39.593950815159474,1,3.0,21.104073,39.598759,1.0077312238171479,Low
21.105821_39.912362,21.10582105641394,39.91236201947293,1,2.0,21.107958,39.912975,1.0553167610616243,Low
21.110313_39.598775,21.110312612288897,39.598775227346046,2,2.0,21.112602,39.5994965,1.491249339662769,Medium
21.110313_39.791752,21.110312612288897,39.79175171480874,1,2.0,21.113167,39.792316,1.1411852739125647,Medium
21.110313_39.93166,21.110312612288897,39.9316596682192,1,2.0,21.1118456,39.9356555,1.0774508190326388,Low
